Epoch,Episodes,TimeCost(sec),Actor_Loss,Critic_Loss,Success,CollisionsAvg,ExRewardAvg,Range
163/300,81500,92.79,15.92,0.92,0.35,1.74,-75.44,0.1
164/300,82000,91.75,14.51,0.78,0.36,0.36,-76.0,0.1
165/300,82500,95.28,15.19,0.86,0.37,0.64,-76.23,0.1
166/300,83000,89.55,15.45,0.86,0.36,0.04,-74.29,0.1
167/300,83500,91.91,16.19,0.82,0.42,0.04,-69.54,0.1
168/300,84000,89.63,17.23,0.91,0.57,0.08,-59.77,0.1
169/300,84500,86.03,16.96,1.03,0.49,0.75,-64.79,0.1
170/300,85000,94.02,15.74,1.04,0.63,0.48,-55.13,0.1
171/300,85500,91.42,16.2,1.07,0.6,0.2,-56.07,0.1
172/300,86000,89.54,15.07,1.18,0.59,0.01,-53.74,0.1
173/300,86500,91.33,12.17,1.31,0.79,0.0,-43.26,0.1
174/300,87000,92.0,12.59,1.38,0.79,0.0,-43.66,0.1
175/300,87500,93.66,11.94,1.28,0.65,0.0,-51.45,0.1
176/300,88000,94.48,12.62,1.27,0.6,0.02,-49.83,0.1
177/300,88500,94.88,12.56,1.26,0.73,0.08,-42.8,0.1
178/300,89000,99.18,11.32,1.28,0.79,0.0,-34.22,0.1
179/300,89500,96.27,10.51,1.26,0.77,0.0,-32.96,0.1
180/300,90000,98.55,9.27,1.27,0.91,0.0,-28.59,0.1
181/300,90500,95.83,9.08,1.22,0.26,0.99,-83.65,0.4
182/300,91000,94.49,8.93,1.18,0.33,0.21,-74.92,0.4
183/300,91500,97.45,9.0,1.16,0.41,0.34,-70.87,0.4
184/300,92000,97.47,9.84,1.09,0.56,0.0,-60.53,0.4
185/300,92500,99.69,9.97,1.06,0.64,0.03,-48.79,0.4
186/300,93000,98.7,9.73,1.02,0.6,0.0,-54.48,0.4
187/300,93500,98.49,9.33,1.01,0.71,0.0,-44.86,0.4
188/300,94000,100.65,8.86,1.01,0.91,0.0,-34.1,0.4
189/300,94500,98.68,8.23,0.99,0.4,0.01,-69.25,0.7
190/300,95000,94.96,7.82,0.98,0.46,1.71,-63.99,0.7
191/300,95500,100.61,7.33,0.99,0.44,0.2,-62.54,0.7
