tag: 
learn: normal
env: RandDynObstEnv-v1
render: False
scenario: 
control_mode: position
model_path: 
play_epoch: best
epochs: 350
cycles: 50
num_envs: 10
train_batches: 50
batch_size: 256
timesteps: 80
env_n_substeps: 20
num_obst: 1
gamma: 0.98
pi_lr: 0.001
q_lr: 0.001
act_l2: 1.0
polyak: 0.95
actor_layer_sizes: [512, 256, 128]
actor_batch_norm: [False, False, False]
critic_layer_sizes: [512, 256, 128]
critic_batch_norm: [False, False, False]
obj_lost_reward: -0.3
collision_reward: -0.5
clip_return: True
reward_min: -1.0
reward_max: 0.0
eps_act: 0.3
std_act: 0.2
buffer_size: 20000
buffer_type: energy
her: future
her_ratio: 0.8
pool_rule: full
goal_based: True
cur_acc: 0.0
obs_dims: [46]
acts_dims: [4]
compute_reward: <bound method RandDynObstEnv.compute_reward of <envs.rand_dyn_env.RandDynObstEnv object at 0x7f37752ac2b0>>
*** agent initialization complete ***
*** tester initialization complete ***


Epoch               Episodes            TimeCost(sec)       Actor_Loss          Critic_Loss         Success             CollisionsAvg       ExRewardAvg         Range               
76/350              38000               89.4                20.38               0.17                0.16                0.54                -91.67              0.1                 
77/350              38500               89.25               20.41               0.17                0.16                0.01                -91.55              0.1                 
78/350              39000               89.63               20.35               0.15                0.23                0.12                -85.88              0.1                 
79/350              39500               89.32               20.27               0.14                0.32                0.27                -79.1               0.1                 
80/350              40000               90.07               20.33               0.14                0.26                0.45                -84.14              0.1                 


Epoch               Episodes            TimeCost(sec)       Actor_Loss          Critic_Loss         Success             CollisionsAvg       ExRewardAvg         Range               
81/350              40500               89.68               20.33               0.16                0.26                0.24                -83.91              0.1                 
82/350              41000               89.91               20.33               0.15                0.23                0.22                -85.95              0.1                 
83/350              41500               89.76               20.31               0.15                0.23                0.0                 -85.98              0.1                 
84/350              42000               90.0                20.36               0.15                0.22                0.94                -87.24              0.1                 
85/350              42500               89.64               20.45               0.17                0.24                0.0                 -85.9               0.1                 
86/350              43000               90.34               20.47               0.16                0.23                0.87                -86.58              0.1                 
87/350              43500               91.18               20.48               0.17                0.19                0.0                 -88.97              0.1                 
88/350              44000               89.56               20.5                0.17                0.21                0.27                -87.59              0.1                 
89/350              44500               89.96               20.38               0.18                0.27                0.09                -82.79              0.1                 
90/350              45000               89.66               20.36               0.18                0.12                0.0                 -94.56              0.1                 


Epoch               Episodes            TimeCost(sec)       Actor_Loss          Critic_Loss         Success             CollisionsAvg       ExRewardAvg         Range               
91/350              45500               89.54               20.44               0.18                0.23                0.66                -86.32              0.1                 
92/350              46000               89.62               20.35               0.18                0.22                0.0                 -87.46              0.1                 
93/350              46500               89.54               20.37               0.17                0.15                0.62                -92.44              0.1                 
94/350              47000               90.75               20.33               0.18                0.2                 0.06                -88.63              0.1                 
95/350              47500               89.79               20.25               0.19                0.26                0.05                -83.65              0.1                 
