tag: 
learn: normal
env: RandDynObstEnv-v1
render: True
scenario: lift_drawer_2
control_mode: position
model_path: /home/qiao/RL-Dyn-Env-main/log/RandDynObstEnv-v1/drawer
play_epoch: best
epochs: 150
cycles: 50
num_envs: 10
train_batches: 50
batch_size: 256
timesteps: 80
env_n_substeps: 80
num_obst: 1
gamma: 0.98
pi_lr: 0.001
q_lr: 0.001
act_l2: 1.0
polyak: 0.95
actor_layer_sizes: [512, 256, 128]
actor_batch_norm: [False, False, False]
critic_layer_sizes: [512, 256, 128]
critic_batch_norm: [False, False, False]
obj_lost_reward: -0.3
collision_reward: -0.5
clip_return: True
reward_min: -1.0
reward_max: 0.0
eps_act: 0.3
std_act: 0.2
buffer_size: 20000
buffer_type: energy
her: future
her_ratio: 0.8
pool_rule: full
goal_based: True
cur_acc: 0.0
obs_dims: [82]
acts_dims: [4]
compute_reward: <bound method RandDynObstEnv.compute_reward of <envs.rand_dyn_env.RandDynObstEnv object at 0x7f3113904460>>
*** agent initialization complete ***
*** tester initialization complete ***


Epoch               Episodes            TimeCost(sec)       Actor_Loss          Critic_Loss         Success             CollisionsAvg       ExRewardAvg         Range               
80/150              40000               170.09              13.29               0.87                0.93                4.67                -51.73              0.1                 


Epoch               Episodes            TimeCost(sec)       Actor_Loss          Critic_Loss         Success             CollisionsAvg       ExRewardAvg         Range               
81/150              40500               171.2               13.55               0.84                0.91                6.45                -54.77              0.1                 
82/150              41000               175.03              14.64               0.89                0.99                4.41                -47.08              0.1                 
83/150              41500               172.94              15.55               0.82                0.88                5.23                -50.33              0.1                 
84/150              42000               170.63              15.9                0.78                0.93                6.3                 -54.35              0.1                 
85/150              42500               170.95              14.76               0.77                0.9                 3.73                -50.1               0.1                 
86/150              43000               168.38              14.94               0.82                0.94                3.31                -47.95              0.1                 
87/150              43500               173.83              15.0                0.83                0.97                6.36                -49.26              0.1                 
88/150              44000               173.9               14.63               0.8                 0.98                4.27                -44.91              0.1                 
89/150              44500               175.48              15.53               0.78                0.83                6.4                 -54.27              0.1                 
90/150              45000               171.17              15.67               0.79                0.92                5.47                -48.39              0.1                 


Epoch               Episodes            TimeCost(sec)       Actor_Loss          Critic_Loss         Success             CollisionsAvg       ExRewardAvg         Range               
91/150              45500               178.18              14.89               0.83                0.28                16.89               -85.5               0.1                 
92/150              46000               173.78              15.61               0.8                 0.93                5.27                -48.74              0.1                 
93/150              46500               174.83              15.46               0.81                0.92                3.5                 -48.77              0.1                 
94/150              47000               172.86              15.19               0.81                1.0                 2.45                -46.33              0.1                 
95/150              47500               169.44              15.32               0.76                1.0                 1.71                -42.09              0.1                 
96/150              48000               166.44              15.53               0.71                0.96                0.65                -42.15              0.1                 
97/150              48500               167.29              16.22               0.72                0.96                2.1                 -44.04              0.1                 
98/150              49000               167.25              16.12               0.72                0.99                0.68                -40.37              0.1                 
99/150              49500               169.74              16.38               0.7                 0.98                0.95                -49.61              0.1                 
100/150             50000               170.42              16.29               0.76                0.93                4.31                -48.58              0.1                 


Epoch               Episodes            TimeCost(sec)       Actor_Loss          Critic_Loss         Success             CollisionsAvg       ExRewardAvg         Range               
101/150             50500               169.06              16.41               0.76                0.94                5.9                 -51.0               0.1                 
102/150             51000               171.54              16.17               0.73                0.98                1.91                -42.41              0.1                 
103/150             51500               169.94              16.07               0.78                0.93                4.47                -47.85              0.1                 
104/150             52000               173.15              15.9                0.75                0.97                2.99                -46.25              0.1                 
105/150             52500               168.84              16.09               0.73                1.0                 1.77                -43.05              0.1                 
106/150             53000               169.58              16.09               0.75                0.99                1.86                -43.46              0.1                 
107/150             53500               167.0               16.29               0.75                1.0                 1.6                 -42.19              0.1                 
108/150             54000               168.57              16.24               0.76                0.81                5.89                -60.76              0.1                 
109/150             54500               168.48              16.38               0.71                0.99                2.07                -40.87              0.1                 
110/150             55000               168.62              14.85               0.8                 1.0                 1.2                 -41.56              0.1                 


Epoch               Episodes            TimeCost(sec)       Actor_Loss          Critic_Loss         Success             CollisionsAvg       ExRewardAvg         Range               
111/150             55500               172.97              15.82               0.75                1.0                 0.71                -41.52              0.1                 
112/150             56000               170.0               12.77               0.87                1.0                 0.78                -40.24              0.1                 
113/150             56500               169.7               14.06               0.72                0.99                2.47                -42.01              0.1                 
