tag: 
learn: normal
env: RandDynObstEnv-v1
render: True
scenario: lift_drawer_2
control_mode: ik_controller
model_path: /home/qiao/RL-Dyn-Env-main/log/RandDynObstEnv-v1-lift_drawer_2/no-ik
play_epoch: best
epochs: 100
cycles: 50
num_envs: 10
train_batches: 50
batch_size: 256
timesteps: 80
env_n_substeps: 80
num_obst: 1
gamma: 0.98
pi_lr: 0.001
q_lr: 0.001
act_l2: 1.0
polyak: 0.95
actor_layer_sizes: [512, 256, 128]
actor_batch_norm: [False, False, False]
critic_layer_sizes: [512, 256, 128]
critic_batch_norm: [False, False, False]
obj_lost_reward: -0.3
collision_reward: -0.5
clip_return: True
reward_min: -1.0
reward_max: 0.0
eps_act: 0.3
std_act: 0.2
buffer_size: 20000
buffer_type: energy
her: future
her_ratio: 0.8
pool_rule: full
goal_based: True
cur_acc: 0.0
obs_dims: [82]
acts_dims: [4]
compute_reward: <bound method RandDynObstEnv.compute_reward of <envs.rand_dyn_env.RandDynObstEnv object at 0x7f60215484c0>>
*** agent initialization complete ***
*** tester initialization complete ***


Epoch               Episodes            TimeCost(sec)       Actor_Loss          Critic_Loss         Success             CollisionsAvg       ExRewardAvg         Range               
89/100              44500               180.91              13.91               0.69                0.02                0.36                -85.94              0.1                 
90/100              45000               182.99              13.47               0.71                0.83                2.25                -62.66              0.1                 


Epoch               Episodes            TimeCost(sec)       Actor_Loss          Critic_Loss         Success             CollisionsAvg       ExRewardAvg         Range               
91/100              45500               186.16              15.55               0.74                0.31                0.2                 -84.52              0.1                 
92/100              46000               180.69              15.83               0.76                0.75                0.07                -64.32              0.1                 
93/100              46500               180.52              15.45               0.7                 0.95                0.06                -52.44              0.1                 
94/100              47000               182.29              13.63               0.81                0.88                0.01                -59.94              0.1                 
95/100              47500               180.66              15.28               0.75                0.96                0.01                -52.51              0.1                 
96/100              48000               179.9               15.0                0.77                0.85                0.06                -54.57              0.1                 
97/100              48500               180.57              11.86               0.57                0.94                0.06                -51.54              0.1                 
98/100              49000               178.41              14.54               0.46                0.7                 0.12                -64.55              0.1                 
99/100              49500               181.09              15.12               0.66                0.8                 1.36                -61.97              0.1                 
100/100             50000               178.76              14.3                0.74                0.85                0.9                 -55.81              0.1                 
