tag: 
learn: normal
env: RandDynObstEnv-v1
render: True
scenario: 
control_mode: position
model_path: 
play_epoch: best
epochs: 400
cycles: 50
num_envs: 10
train_batches: 50
batch_size: 256
timesteps: 80
env_n_substeps: 20
num_obst: 1
gamma: 0.98
pi_lr: 0.001
q_lr: 0.001
act_l2: 1.0
polyak: 0.95
actor_layer_sizes: [512, 256, 128]
actor_batch_norm: [False, False, False]
critic_layer_sizes: [512, 256, 128]
critic_batch_norm: [False, False, False]
obj_lost_reward: -0.3
collision_reward: -0.5
clip_return: True
reward_min: -1.0
reward_max: 0.0
eps_act: 0.3
std_act: 0.2
buffer_size: 20000
buffer_type: energy
her: future
her_ratio: 0.8
pool_rule: full
goal_based: True
cur_acc: 0.0
obs_dims: [82]
acts_dims: [4]
compute_reward: <bound method RandDynObstEnv.compute_reward of <envs.rand_dyn_env.RandDynObstEnv object at 0x7ff6decbfca0>>
*** agent initialization complete ***
*** tester initialization complete ***


Epoch               Episodes            TimeCost(sec)       Actor_Loss          Critic_Loss         Success             CollisionsAvg       ExRewardAvg         Range               
75/400              37500               103.29              20.69               0.28                0.27                1.04                -84.38              0.1                 
76/400              38000               101.34              20.65               0.3                 0.19                0.11                -90.38              0.1                 
77/400              38500               99.85               20.75               0.3                 0.26                0.3                 -85.53              0.1                 
78/400              39000               101.53              20.62               0.3                 0.26                1.81                -86.27              0.1                 
79/400              39500               102.28              20.64               0.33                0.21                0.0                 -88.13              0.1                 
80/400              40000               101.04              16.66               0.55                0.23                0.44                -86.78              0.1                 


Epoch               Episodes            TimeCost(sec)       Actor_Loss          Critic_Loss         Success             CollisionsAvg       ExRewardAvg         Range               
81/400              40500               102.19              16.58               0.47                0.22                0.31                -87.44              0.1                 
82/400              41000               100.49              20.46               0.37                0.3                 0.0                 -82.06              0.1                 
83/400              41500               101.28              20.68               0.39                0.22                0.08                -86.56              0.1                 
84/400              42000               99.44               20.8                0.39                0.24                0.0                 -85.57              0.1                 
85/400              42500               102.45              20.73               0.39                0.16                0.17                -92.6               0.1                 
86/400              43000               104.15              20.89               0.38                0.24                0.09                -85.16              0.1                 
87/400              43500               100.27              20.9                0.38                0.2                 0.1                 -88.99              0.1                 
88/400              44000               104.65              20.91               0.38                0.25                0.09                -85.07              0.1                 
89/400              44500               100.72              20.78               0.39                0.21                0.46                -87.61              0.1                 
90/400              45000               102.74              20.62               0.4                 0.27                0.0                 -84.12              0.1                 


Epoch               Episodes            TimeCost(sec)       Actor_Loss          Critic_Loss         Success             CollisionsAvg       ExRewardAvg         Range               
91/400              45500               102.38              20.71               0.42                0.22                0.24                -86.61              0.1                 
92/400              46000               103.54              20.74               0.43                0.24                0.1                 -85.42              0.1                 
93/400              46500               103.54              20.76               0.47                0.24                0.33                -87.2               0.1                 
94/400              47000               105.36              20.74               0.47                0.27                0.19                -82.54              0.1                 
95/400              47500               106.27              20.69               0.45                0.34                0.02                -78.34              0.1                 
96/400              48000               104.6               20.73               0.55                0.27                0.01                -83.69              0.1                 
97/400              48500               106.73              20.75               0.58                0.2                 0.83                -87.65              0.1                 
98/400              49000               102.06              20.84               0.59                0.35                0.38                -79.1               0.1                 
99/400              49500               106.08              21.05               0.59                0.33                0.25                -78.53              0.1                 
100/400             50000               103.16              20.98               0.61                0.27                0.83                -82.31              0.1                 


Epoch               Episodes            TimeCost(sec)       Actor_Loss          Critic_Loss         Success             CollisionsAvg       ExRewardAvg         Range               
101/400             50500               106.29              20.9                0.7                 0.37                0.11                -74.07              0.1                 
102/400             51000               104.01              20.82               0.73                0.39                0.09                -72.52              0.1                 
103/400             51500               102.96              20.78               0.74                0.38                0.0                 -74.32              0.1                 
104/400             52000               105.18              20.98               0.82                0.37                0.0                 -75.24              0.1                 
105/400             52500               101.77              20.73               0.86                0.43                0.15                -69.01              0.1                 
106/400             53000               105.07              20.36               0.88                0.51                0.89                -64.73              0.1                 
107/400             53500               105.85              19.78               0.93                0.56                0.0                 -59.91              0.1                 
108/400             54000               108.32              19.38               0.98                0.49                0.3                 -67.71              0.1                 
109/400             54500               107.51              18.79               1.08                0.65                0.07                -55.35              0.1                 
110/400             55000               108.23              18.58               1.09                0.73                0.32                -49.96              0.1                 


Epoch               Episodes            TimeCost(sec)       Actor_Loss          Critic_Loss         Success             CollisionsAvg       ExRewardAvg         Range               
111/400             55500               105.3               17.64               1.2                 0.72                0.0                 -48.13              0.1                 
112/400             56000               111.72              16.44               1.34                0.7                 0.02                -43.02              0.1                 
113/400             56500               112.41              14.16               1.44                0.8                 0.0                 -37.47              0.1                 
114/400             57000               114.1               13.41               1.38                0.77                0.0                 -42.06              0.1                 
115/400             57500               115.12              12.18               1.44                0.9                 0.0                 -32.33              0.1                 
116/400             58000               109.21              11.51               1.38                0.36                0.05                -77.11              0.4                 
117/400             58500               112.18              11.27               1.34                0.56                0.0                 -65.63              0.4                 
118/400             59000               113.84              11.27               1.31                0.46                0.0                 -69.9               0.4                 
119/400             59500               116.96              11.24               1.28                0.78                0.29                -48.32              0.4                 
120/400             60000               116.79              10.85               1.28                0.63                0.45                -51.58              0.4                 


Epoch               Episodes            TimeCost(sec)       Actor_Loss          Critic_Loss         Success             CollisionsAvg       ExRewardAvg         Range               
121/400             60500               117.07              10.43               1.24                0.77                0.0                 -43.24              0.4                 
122/400             61000               118.62              9.65                1.21                0.83                0.01                -34.72              0.4                 
123/400             61500               116.94              8.78                1.16                0.93                0.26                -31.26              0.4                 
124/400             62000               118.13              8.21                1.13                0.41                0.79                -69.05              0.7                 
125/400             62500               116.53              7.84                1.14                0.54                0.15                -62.75              0.7                 
126/400             63000               113.1               7.91                1.09                0.57                0.09                -58.04              0.7                 
